id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,duration,distance,,,
id1436954,2,4/25/16 13:18,4/25/16 13:26,1,-73.96653748,40.78409195,-73.96653748,40.78409195,N,436,0,,,
id2299824,2,5/4/16 13:54,5/4/16 14:00,2,-73.93637848,40.74382019,-73.93637848,40.74382019,N,349,0,,,
id1154921,2,1/29/16 17:54,1/29/16 18:01,5,-73.99177551,40.74442291,-73.99177551,40.74442291,N,393,0,,,
id3674350,2,1/10/16 0:21,1/10/16 0:32,1,-73.98835754,40.74596024,-73.98835754,40.74596024,N,635,0,,,
id2090650,2,5/31/16 16:16,5/31/16 16:22,1,-74.01454163,40.87285995,-74.01454163,40.87285995,N,347,0,,,
id0960620,2,5/4/16 3:49,5/4/16 3:56,1,-73.97637939,40.73168945,-73.97637939,40.73168945,N,425,0,,,
id2090814,1,5/20/16 13:38,5/20/16 13:41,1,-73.98500061,40.73981476,-73.98500061,40.73981476,N,215,0,,,
id3979412,1,4/30/16 4:19,4/30/16 4:20,1,-73.95690918,40.71358109,-73.95690918,40.71358109,N,7,0,,,
id3330882,2,4/2/16 8:47,4/2/16 8:50,1,-74.07343292,40.6154213,-74.07343292,40.6154213,N,160,0,,,
id1083894,1,4/10/16 20:21,4/10/16 20:22,2,-73.9810257,40.78164673,-73.9810257,40.78164673,Y,68,0,,,
id3223120,1,6/14/16 16:10,6/14/16 16:10,1,-73.97735596,40.76454926,-73.97735596,40.76454926,N,26,0,,,
id3059620,1,1/6/16 21:53,1/6/16 21:53,1,-74.03189087,40.72677994,-74.03189087,40.72677994,N,35,0,,,
id0895884,2,3/12/16 13:30,3/12/16 13:32,1,-73.97516632,40.76517868,-73.97516632,40.76517868,N,155,0,,,
id1678167,2,6/18/16 0:58,6/18/16 1:24,1,-73.98516846,40.76615906,-73.98516846,40.76615906,N,1507,0,,,
id3165609,2,5/24/16 22:06,5/24/16 22:14,1,-73.99176788,40.76445007,-73.99176788,40.76445007,N,454,0,,,
id2025902,1,6/24/16 17:10,6/24/16 17:16,1,-73.98101044,40.75050354,-73.98101044,40.75050354,N,383,0,,,
id0206782,1,4/20/16 20:16,4/20/16 20:16,1,-73.94137573,40.83347702,-73.94137573,40.83347702,N,28,0,,,
id2426061,2,6/11/16 16:26,6/11/16 16:32,1,-73.95419312,40.76622009,-73.95419312,40.76622009,N,377,0,,,
id2632335,2,6/1/16 19:50,6/1/16 20:05,1,-73.96829987,40.76842117,-73.96829987,40.76842117,N,864,0,,,
id0738225,1,2/6/16 0:49,2/6/16 0:50,1,-73.98925018,40.74046707,-73.98925018,40.74046707,N,28,0,,,
id0718306,2,3/29/16 8:33,3/29/16 8:38,1,-73.9797821,40.74546051,-73.9797821,40.74546051,N,283,0,,,
id0020077,1,2/22/16 10:56,2/22/16 11:12,1,-73.9912262,40.74676132,-73.9912262,40.74676132,N,940,0,,,
id0184282,2,3/18/16 10:36,3/18/16 10:36,1,-73.77632904,40.64553833,-73.77632904,40.64553833,N,4,0,,,
id3193338,1,4/3/16 14:01,4/3/16 14:01,1,-73.77645111,40.64627838,-73.77645111,40.64627838,N,7,0,,,
id3243658,1,4/11/16 15:51,4/11/16 15:57,1,-73.99327087,40.75675964,-73.99327087,40.75675964,N,358,0,,,
id0690150,1,2/22/16 15:48,2/22/16 16:05,1,-73.97225952,40.75432968,-73.97225952,40.75432968,Y,1004,0,,,
id3878546,2,5/18/16 9:03,5/18/16 9:35,5,-73.82216644,40.68461609,-73.82216644,40.68461609,N,1916,0,,,
id3187085,2,6/5/16 10:35,6/5/16 10:57,6,-73.96582031,40.59987259,-73.96582031,40.59987259,N,1321,0,,,
id0896645,2,4/20/16 11:36,4/20/16 11:43,1,-73.99771881,40.7412529,-73.99771881,40.7412529,N,383,0,,,
id0135333,2,6/16/16 23:41,6/16/16 23:51,1,-73.98448944,40.73532104,-73.98448944,40.73532104,N,576,0,,,
id1320966,2,1/5/16 12:41,1/5/16 12:50,1,-74.00019073,40.73971176,-74.00019073,40.73971176,N,566,0,,,
id3383170,1,5/13/16 13:17,5/13/16 13:18,1,-73.92951202,40.81230927,-73.92951202,40.81230927,N,30,0,,,
id1220932,2,4/13/16 15:24,4/13/16 15:58,1,-73.81324005,40.69726944,-73.81324005,40.69726944,N,2032,0,,,
id1631033,2,2/27/16 14:23,2/27/16 15:00,2,-74.10523224,40.68138885,-74.10523224,40.68138885,N,2247,0,,,
id2513832,2,1/14/16 20:48,1/14/16 20:59,2,-73.79335022,40.65687561,-73.79335022,40.65687561,N,684,0,,,
id2540791,1,1/10/16 2:32,1/10/16 2:42,1,-73.95466614,40.82100296,-73.95466614,40.82100296,N,580,0,,,
id2884907,1,2/17/16 19:56,2/17/16 19:58,1,-73.9956131,40.76828384,-73.9956131,40.76828384,N,85,0,,,
id1769257,1,3/20/16 15:28,3/20/16 15:28,1,-73.95237732,40.72728729,-73.95237732,40.72728729,N,18,0,,,
id3587936,2,6/5/16 19:05,6/5/16 19:06,1,-73.95628357,40.80226898,-73.95628357,40.80226898,N,27,0,,,
id3518317,1,6/5/16 21:51,6/5/16 21:52,1,-73.97473145,40.73277283,-73.97473145,40.73277283,N,7,0,,,
id2660325,1,5/11/16 10:00,5/11/16 10:01,1,-73.99879456,40.87562943,-73.99879456,40.87562943,N,56,0,,,
id3978404,2,2/11/16 10:02,2/11/16 10:11,1,-73.96376801,40.76148224,-73.96376801,40.76148224,N,567,0,,,
id0974754,1,2/14/16 20:42,2/14/16 21:02,1,-73.9443512,40.75187302,-73.9443512,40.75187302,N,1221,0,,,
id2183140,1,3/23/16 22:59,3/23/16 23:00,1,-73.97298431,40.75505829,-73.97298431,40.75505829,N,50,0,,,
id3311098,1,1/9/16 7:49,1/9/16 8:07,2,-73.87068176,40.77360153,-73.87068176,40.77360153,N,1038,0,,,
id2458003,2,5/10/16 8:24,5/10/16 8:30,1,-73.94486237,40.7832489,-73.94486237,40.7832489,N,357,0,,,
id1906274,1,6/5/16 15:28,6/5/16 16:17,1,-73.96427155,40.76234818,-73.96427155,40.76234818,N,2957,0,,,
id1056945,2,6/15/16 10:48,6/15/16 11:02,1,-73.96112061,40.77182007,-73.96112061,40.77182007,N,841,0,,,
id3060550,2,3/10/16 18:32,3/10/16 18:38,4,-73.99739838,40.67004013,-73.99739838,40.67004013,N,374,0,,,
id0350765,2,3/15/16 16:27,3/15/16 16:53,1,-74.06365967,40.6020813,-74.06365967,40.6020813,N,1557,0,,,
id3929242,2,2/18/16 14:31,2/18/16 14:33,1,-73.99945068,40.70821381,-73.99945068,40.70821381,N,112,0,,,
id3353807,2,1/13/16 22:08,1/13/16 22:25,1,-73.947052,40.7183609,-73.947052,40.7183609,N,1029,0,,,
id1323906,1,4/4/16 6:54,4/4/16 6:55,2,-73.96327972,40.76432037,-73.96327972,40.76432037,N,2,0,,,
id0123256,2,2/2/16 12:26,2/2/16 12:31,1,-73.97557068,40.79198074,-73.97557068,40.79198074,N,314,0,,,
id0339400,2,4/18/16 13:12,4/18/16 13:26,2,-74.01255035,40.71875381,-74.01255035,40.71875381,N,844,0,,,
id0554263,2,1/28/16 17:20,1/28/16 17:31,1,-73.92675781,40.73036957,-73.92675781,40.73036957,N,669,0,,,
id2628142,2,2/8/16 7:34,2/8/16 7:36,1,-73.99236298,40.70177078,-73.99236298,40.70177078,N,147,0,,,
id2881694,2,1/28/16 13:45,1/28/16 13:55,1,-73.92675781,40.73036957,-73.92675781,40.73036957,N,580,0,,,
id2081113,1,6/13/16 13:18,6/13/16 13:33,1,-74.00576019,40.70872879,-74.00576019,40.70872879,N,899,0,,,
id1591203,2,3/13/16 4:31,3/13/16 4:37,3,-73.99295807,40.7530365,-73.99295807,40.7530365,N,349,0,,,
id2608983,2,6/17/16 21:23,6/17/16 21:39,6,-73.98568726,40.72285843,-73.98568726,40.72285843,N,971,0,,,
id0320347,2,6/10/16 0:24,6/10/16 0:51,6,-73.79390717,40.65677261,-73.79390717,40.65677261,N,1624,0,,,
id1654765,1,6/22/16 22:38,6/22/16 22:39,1,-73.94458008,40.75185776,-73.94458008,40.75185776,N,26,0,,,
id1485508,2,5/15/16 22:11,5/15/16 22:14,1,-73.97769928,40.75691986,-73.97769928,40.75691986,N,178,0,,,
id2712830,2,6/2/16 8:49,6/2/16 9:02,1,-73.95084381,40.77894974,-73.95084381,40.77894974,N,814,0,,,
id3601355,1,4/21/16 21:33,4/21/16 21:33,1,-74.00144196,40.72631454,-74.00144196,40.72631454,N,13,0,,,
id3233623,2,4/9/16 13:43,4/9/16 13:53,5,-73.94930267,40.78813934,-73.94930267,40.78813934,N,577,0,,,
id2633941,1,5/24/16 20:06,5/24/16 20:11,1,-73.96710968,40.78234863,-73.96710968,40.78234863,N,288,0,,,
id0949760,1,3/20/16 11:48,3/20/16 11:48,4,-73.98342133,40.72993088,-73.98342133,40.72993088,N,16,0,,,
id2385775,2,4/15/16 19:48,4/15/16 19:59,4,-74.00488281,40.71193314,-74.00488281,40.71193314,N,674,0,,,
id3773641,2,5/13/16 11:08,5/13/16 11:09,6,-73.98603821,40.7773819,-73.98603821,40.7773819,N,91,0,,,
id3108390,1,1/12/16 14:02,1/12/16 14:02,1,-73.97533417,40.75814819,-73.97533417,40.75814819,N,2,0,,,
id3730080,2,2/2/16 9:07,2/2/16 9:28,1,-73.95944214,40.76198959,-73.95944214,40.76198959,N,1256,0,,,
id2071220,2,2/5/16 8:53,2/5/16 9:08,5,-73.98313141,40.74616623,-73.98313141,40.74616623,N,898,0,,,
id0084868,2,2/11/16 18:06,2/11/16 18:12,1,-73.96975708,40.75302124,-73.96975708,40.75302124,N,323,0,,,
id2005181,2,6/2/16 9:23,6/2/16 9:49,1,-73.83262634,40.80665207,-73.83262634,40.80665207,N,1582,0,,,
id0725851,2,6/13/16 23:10,6/13/16 23:24,1,-73.96575928,40.80559921,-73.96575928,40.80559921,N,864,0,,,
id1289052,1,6/24/16 15:49,6/24/16 16:27,4,-73.98616028,40.75305557,-73.98616028,40.75305557,N,2258,0,,,
id2705643,1,2/5/16 5:54,2/5/16 6:03,1,-73.95951843,40.76382065,-73.95951843,40.76382065,N,535,0,,,
id2883133,1,5/29/16 8:22,5/29/16 8:24,1,-73.93630981,40.79672241,-73.93630981,40.79672241,N,136,0,,,
id1123327,1,4/20/16 11:32,4/20/16 11:33,1,-73.94712067,40.74498749,-73.94712067,40.74498749,N,24,0,,,
id1950746,1,4/9/16 15:02,4/9/16 15:02,1,-73.98755646,40.73291779,-73.98755646,40.73291779,N,5,0,,,
id3736763,2,2/23/16 12:05,2/23/16 12:13,1,-73.9768219,40.75387955,-73.9768219,40.75387955,N,490,0,,,
id0198069,2,6/8/16 23:59,6/9/16 0:04,3,-73.79469299,40.65619278,-73.79469299,40.65619278,N,355,0,,,
id1667626,2,3/9/16 19:36,3/9/16 19:54,3,-73.98379517,40.74253845,-73.98379517,40.74253845,N,1083,0,,,
id3262751,2,3/4/16 23:46,3/4/16 23:54,1,-74.04470062,40.7245369,-74.04470062,40.7245369,N,507,0,,,
id2714516,2,3/14/16 9:23,3/14/16 9:34,1,-73.99427795,40.76338959,-73.99427795,40.76338959,N,639,0,,,
id2808489,1,5/5/16 15:11,5/5/16 15:11,1,-73.94707489,40.74494553,-73.94707489,40.74494553,N,13,0,,,
id3112872,2,3/30/16 13:54,3/30/16 13:58,1,-73.99601746,40.7456398,-73.99601746,40.7456398,N,279,0,,,
id1553363,2,6/13/16 14:31,6/13/16 14:53,3,-73.97536469,40.7497139,-73.97536469,40.7497139,N,1310,0,,,
id2518154,2,4/26/16 1:15,4/26/16 1:28,5,-73.94436646,40.72032166,-73.94436646,40.72032166,N,753,0,,,
id0923058,1,5/15/16 22:31,5/15/16 22:32,1,-73.94026947,40.81627655,-73.94026947,40.81627655,N,25,0,,,
id1593246,1,6/23/16 8:10,6/23/16 8:11,1,-73.9431076,40.74972153,-73.9431076,40.74972153,N,27,0,,,
id1664404,2,6/28/16 20:12,6/28/16 20:39,6,-73.7933197,40.6566925,-73.7933197,40.6566925,N,1598,0,,,
id1344024,2,3/26/16 19:12,3/26/16 19:21,1,-73.99932098,40.73091888,-73.99932098,40.73091888,N,503,0,,,
id0992994,2,1/24/16 12:51,1/24/16 12:56,1,-73.99052429,40.73083878,-73.99052429,40.73083878,N,281,0,,,
id3512493,1,5/15/16 22:57,5/15/16 22:58,1,-74.21144867,40.78948975,-74.21144867,40.78948975,N,78,0,,,
id0051474,2,3/30/16 21:46,3/30/16 21:54,2,-73.97367859,40.75421906,-73.97367859,40.75421906,N,455,0,,,
id3351929,2,1/16/16 0:03,1/16/16 0:18,1,-73.99211884,40.69923782,-73.99211884,40.69923782,N,920,0,,,
id0934333,2,1/17/16 22:31,1/17/16 22:47,1,-73.99430847,40.75117874,-73.99430847,40.75117874,N,951,0,,,
id0233126,2,2/15/16 16:04,2/15/16 16:11,1,-73.95757294,40.77354813,-73.95757294,40.77354813,N,415,0,,,
id1026828,1,1/3/16 20:30,1/3/16 20:30,1,-73.98987579,40.7338295,-73.98987579,40.7338295,N,21,0,,,
id3938479,2,4/7/16 21:04,4/7/16 21:13,1,-73.99781799,40.75733185,-73.99781799,40.75733185,N,549,0,,,
id0878386,1,5/21/16 14:32,5/21/16 14:32,1,-74.17745972,40.69532394,-74.17745972,40.69532394,N,17,0,,,
id3595397,2,2/19/16 10:57,2/19/16 11:29,1,-73.86334229,40.76958084,-73.86334229,40.76958084,N,1922,0,,,
id3399991,2,6/27/16 19:05,6/27/16 19:09,2,-74.00347137,40.73880386,-74.00347137,40.73880386,N,217,0,,,
id3082523,1,3/11/16 14:38,3/11/16 14:38,1,-73.8647995,40.77037811,-73.8647995,40.77037811,N,19,0,,,
id0282024,2,5/6/16 23:30,5/6/16 23:37,2,-73.98986053,40.74573517,-73.98986053,40.74573517,N,408,0,,,
id3848561,2,4/3/16 13:08,4/3/16 13:14,1,-73.96897125,40.76758194,-73.96897125,40.76758194,N,318,0,,,
id2155010,2,4/24/16 17:56,4/24/16 18:04,2,-74.00791931,40.74819183,-74.00791931,40.74819183,N,523,0,,,
id2389917,1,2/1/16 16:52,2/1/16 16:52,1,-73.943367,40.74952316,-73.943367,40.74952316,N,12,0,,,
id2290797,1,3/24/16 11:41,3/24/16 11:54,1,-73.97794342,40.7469101,-73.97794342,40.7469101,N,784,0,,,
id3235620,2,5/25/16 9:01,5/25/16 9:09,1,-73.97185516,40.75032806,-73.97185516,40.75032806,N,468,0,,,
id3572783,2,3/12/16 17:00,3/12/16 17:12,2,-73.97724915,40.74357986,-73.97724915,40.74357986,N,670,0,,,
id1947392,2,6/15/16 22:54,6/15/16 23:11,2,-73.97882843,40.75352859,-73.97882843,40.75352859,N,1057,0,,,
id1515242,2,5/28/16 5:23,5/28/16 5:23,1,-73.91560364,40.88362885,-73.91560364,40.88362885,N,4,0,,,
id0085216,2,6/29/16 18:47,6/29/16 19:23,1,-73.97830963,40.73688126,-73.97830963,40.73688126,N,2152,0,,,
id2892740,2,6/14/16 10:01,6/14/16 10:09,1,-73.96238708,40.77045822,-73.96238708,40.77045822,N,479,0,,,
id3794233,2,2/28/16 8:38,2/28/16 8:40,3,-73.94006348,40.75119019,-73.94006348,40.75119019,N,146,0,,,
id1115039,2,2/16/16 10:38,2/16/16 10:45,1,-73.97596741,40.75350189,-73.97596741,40.75350189,N,380,0,,,
id3860458,2,5/10/16 21:31,5/10/16 22:03,5,-73.98832703,40.76430893,-73.98832703,40.76430893,N,1936,0,,,
id1125640,2,6/30/16 13:23,6/30/16 13:30,1,-73.91692352,40.8355217,-73.91692352,40.8355217,N,436,0,,,
id0359123,2,3/10/16 18:42,3/10/16 18:53,1,-73.97356415,40.73863983,-73.97356415,40.73863983,N,682,0,,,
id3471741,2,2/20/16 17:02,2/20/16 17:11,1,-73.88037109,40.74148178,-73.88037109,40.74148178,N,515,0,,,
id1307408,2,3/9/16 17:26,3/9/16 17:41,6,-74.01199341,40.7016983,-74.01199341,40.7016983,N,913,0,,,
id2935839,2,4/27/16 18:23,4/27/16 18:50,1,-73.73336792,40.6751976,-73.73336792,40.6751976,N,1626,0,,,
id3587163,1,5/7/16 22:00,5/7/16 22:00,1,-74.31734467,40.64852142,-74.31734467,40.64852142,N,28,0,,,
id3839858,2,3/29/16 8:01,3/29/16 8:11,5,-73.9731369,40.78527069,-73.9731369,40.78527069,N,611,0,,,
id1359626,1,1/28/16 14:54,1/28/16 15:02,1,-73.87499237,40.77390671,-73.87499237,40.77390671,N,453,0,,,
id3801411,1,2/2/16 18:59,2/2/16 19:03,1,-73.98262024,40.77782822,-73.98262024,40.77782822,N,263,0,,,
id2270050,2,5/6/16 7:01,5/6/16 7:07,2,-73.95128632,40.71572113,-73.95128632,40.71572113,N,331,0,,,
id2272041,1,1/9/16 13:01,1/9/16 13:02,1,-73.8633194,40.76948547,-73.8633194,40.76948547,N,84,0,,,
id0071629,1,2/8/16 3:52,2/8/16 3:52,1,-73.85437775,40.71095276,-73.85437775,40.71095276,N,24,0,,,
id0465559,1,3/4/16 23:40,3/4/16 23:41,1,-74.0111618,40.97653961,-74.0111618,40.97653961,N,55,0,,,
id0688517,2,4/30/16 14:23,4/30/16 14:29,1,-73.97194672,40.78165817,-73.97194672,40.78165817,N,358,0,,,
id0025300,2,6/9/16 23:07,6/9/16 23:16,5,-73.9673233,40.76858521,-73.9673233,40.76858521,N,522,0,,,
id1833826,2,4/8/16 14:09,4/8/16 14:12,1,-73.87049103,40.7735405,-73.87049103,40.7735405,N,202,0,,,
id2425228,1,6/14/16 21:03,6/14/16 21:03,1,-73.94129181,40.7990799,-73.94129181,40.7990799,N,28,0,,,
id2667715,2,1/21/16 15:15,1/21/16 15:25,5,-73.94836426,40.78822708,-73.94836426,40.78822708,N,606,0,,,
id1712670,1,4/1/16 17:50,4/1/16 17:50,1,-73.99711609,40.72204971,-73.99711609,40.72204971,N,3,0,,,
id2709086,2,3/9/16 17:19,3/9/16 18:04,1,-73.81402588,40.69804382,-73.81402588,40.69804382,N,2731,0,,,
id0137358,2,6/15/16 18:39,6/15/16 18:56,1,-74.09396362,40.63930893,-74.09396362,40.63930893,N,1002,0,,,
id1391057,2,1/12/16 21:46,1/12/16 21:59,1,-73.95955658,40.75754929,-73.95955658,40.75754929,N,737,0,,,
id3330987,2,5/11/16 8:37,5/11/16 8:54,1,-73.9331131,40.74497986,-73.9331131,40.74497986,N,1043,0,,,
id3551254,1,3/8/16 10:07,3/8/16 10:29,1,-73.95141602,40.73615265,-73.95141602,40.73615265,N,1321,0,,,
id0355823,2,1/26/16 22:39,1/26/16 22:48,1,-73.96052551,40.75905991,-73.96052551,40.75905991,N,490,0,,,
id1685730,2,4/22/16 10:03,4/22/16 10:03,1,-73.78340912,40.64374161,-73.78340912,40.64374161,N,8,0,,,
id0828315,2,4/23/16 15:44,4/23/16 15:48,2,-74.00064087,40.73735809,-74.00064087,40.73735809,N,201,0,,,
id0200736,2,5/9/16 20:10,5/9/16 20:25,1,-74.10501862,40.68156815,-74.10501862,40.68156815,N,873,0,,,
id0899697,2,6/28/16 15:59,6/28/16 15:59,1,-73.90251923,40.80978012,-73.90251923,40.80978012,N,20,0,,,
id0067496,1,3/22/16 10:42,3/22/16 10:50,1,-73.98075104,40.76821518,-73.98075104,40.76821518,N,457,0,,,
id3297086,2,5/8/16 0:53,5/8/16 1:05,1,-73.96929169,40.64122009,-73.96929169,40.64122009,N,729,0,,,
id2486845,2,5/4/16 1:39,5/4/16 1:42,2,-74.00856781,40.7339592,-74.00856781,40.7339592,N,186,0,,,
id0712031,2,1/9/16 3:55,1/9/16 3:55,1,-73.98000336,40.74094009,-73.98000336,40.74094009,N,10,0,,,
id2077172,2,2/6/16 10:44,2/6/16 11:16,1,-73.8629303,40.76931381,-73.8629303,40.76931381,N,1930,0,,,
id3673519,1,5/11/16 14:29,5/11/16 14:29,1,-73.95613098,40.77605057,-73.95613098,40.77605057,N,14,0,,,
id1701872,1,5/6/16 8:55,5/6/16 8:56,3,-73.77630615,40.64546204,-73.77630615,40.64546204,N,9,0,,,
id2226429,2,2/19/16 7:06,2/19/16 7:11,1,-73.97458649,40.75590134,-73.97458649,40.75590134,N,287,0,,,
id1540946,2,1/1/16 8:41,1/1/16 8:44,1,-73.9254303,40.77302551,-73.9254303,40.77302551,N,192,0,,,
id1538585,2,1/3/16 2:34,1/3/16 2:37,5,-73.95657349,40.69661331,-73.95657349,40.69661331,N,200,0,,,
id1069917,1,5/6/16 18:44,5/6/16 18:47,2,-73.78273773,40.64409256,-73.78273773,40.64409256,N,157,0,,,
id0053768,1,3/15/16 10:21,3/15/16 10:21,1,-73.9822464,40.74985504,-73.9822464,40.74985504,N,3,0,,,
id0966887,1,5/7/16 0:26,5/7/16 0:27,1,-74.03549194,40.73817444,-74.03549194,40.73817444,N,34,0,,,
id1880895,2,3/27/16 15:40,3/27/16 15:45,2,-73.97140503,40.79503632,-73.97140503,40.79503632,N,321,0,,,
id0285667,2,5/3/16 8:47,5/3/16 8:50,6,-74.00424194,40.71287537,-74.00424194,40.71287537,N,168,0,,,
